the_geom,OBJECTID,Id,Name,Stacked,AnnoLine1,AnnoLine3,Borough,AnnoLine4,AnnoLine2a,Angle
POINT (-73.88895811640342 40.8962098695574),1,90,Van Cortlandt Park,3,Van,Park,Bronx,,Cortlandt,0
POINT (-73.87165102682086 40.88987947152594),2,95,Woodlawn Cemetery,2,Woodlawn,,Bronx,,Cemetery,0
POINT (-73.8386418872537 40.88696522165708),3,81,Seton Falls Park,3,Seton,Park,Bronx,,Falls,0
POINT (-73.80980242290379 40.87798554992497),4,69,Pelham Bay Park,3,Pelham,Park,Bronx,,Bay,0
POINT (-73.87830775950145 40.864423947038276),5,8,Botanical Garden,2,Botanical,,Bronx,,Garden,0
POINT (-73.87626064361218 40.85552207412337),6,9,Bronx Park,2,Bronx,,Bronx,,Park,0
POINT (-73.83530397142964 40.82330814715979),7,78,Saint  Raymond's Cemetery,3,St.,Cemetery,Bronx,,Raymond's,0
POINT (-73.83284639755986 40.814343380069246),8,27,Ferry Point Park,3,Ferry,Park,Bronx,,Point,0
POINT (-73.87217310381769 40.81544429769787),9,84,Sound View Park,3,Sound,Park,Bronx,,View,0
POINT (-73.89422936815207 40.83847660461835),10,21,Crotona Park,2,Crotona,,Bronx,,Park,0
POINT (-73.87523756734706 40.84900594697981),11,96,Zoo/Wildlife Conser. Park,3,Zoo/Wildlife,Park,Bronx,,Conser.,0
POINT (-73.76975723964243 40.851364969267536),12,42,Hart Island,2,Hart,,Bronx,,Island,0
POINT (-73.91175819597106 40.81147587509648),13,79,Saint Mary's Park,3,St.,Park,Bronx,,Mary's,0
POINT (-73.92618082532951 40.872193334259926),14,45,Inwood Hill Park,2,Inwood,,Manhattan,,Hill Park,0
POINT (-73.93190269450912 40.862990772923396),15,36,Fort Tryon Park,3,Fort,Park,Manhattan,,Tryon,0
POINT (-73.88276247711234 40.791980533469754),16,74,Rikers Island,2,Rikers,,Queens,,Island,0
POINT (-73.94268045554563 40.80345956584207),17,57,Marcus Garvey Park,3,Marcus,Park,Manhattan,,Garvey,0
POINT (-73.92169947285805 40.79591467134582),18,72,Randall's Island Park,3,Randall's,Park,Manhattan,,Island,0
POINT (-73.92997389407995 40.784284324777666),19,91,Ward's Island Park,3,Wards,Park,Manhattan,,Island,0
POINT (-73.9656559857641 40.78288157650297),20,15,Central Park,2,Central,,Manhattan,,Park,0
POINT (-73.98190208354553 40.76806052553004),21,18,Columbus Circle,2,Columbus,,Manhattan,,Circle,0
POINT (-73.98179379395485 40.75802130316951),22,88,Times Square,2,Times,,Manhattan,,Square,0
POINT (-73.9880666276522 40.74218139635935),23,56,Madison Square,2,Madison,,Manhattan,,Square,0
POINT (-73.99038010031393 40.73595972106511),24,89,Union Square,2,Union,,Manhattan,,Square,0
POINT (-74.01838919066344 40.68941550618436),25,39,Governors Island,2,Governors,,Manhattan,,Island,41
POINT (-73.95198134413582 40.72089970411925),26,59,McCarren Park,2,McCarren,,Brooklyn,,Park,0
POINT (-73.92426900777012 40.776792340470784),27,3,Astoria Park,2,Astoria,,Queens,,Park,0
POINT (-73.96612485508889 40.66993701228011),28,7,Botanic Garden,2,Botanic,,Brooklyn,,Garden,0
POINT (-73.96908663893517 40.6612508155903),29,71,Prospect Park,2,Prospect,,Brooklyn,,Park,0
POINT (-73.99044121963072 40.65204690915801),30,41,Greenwood Cemetery,2,Greenwood,,Brooklyn,,Cemetery,0
POINT (-73.9376482616997 40.64686106018592),31,44,Holy Cross Cemetery,2,Holy Cross,,Brooklyn,,Cemetery,0
POINT (-74.01857569600294 40.6550850778905),32,11,Bush Terminal,2,Bush,,Brooklyn,,Terminal,0
POINT (-74.0323085182286 40.639958950876455),33,68,Owls Head Park,3,Owls,Park,Brooklyn,,Head,0
POINT (-74.02879132751748 40.60738115117111),34,32,Fort Hamilton,2,Fort,,Brooklyn,,Hamilton,0
POINT (-74.0195610269429 40.6114640343956),35,25,Dyker Beach Park,3,Dyker,Park,Brooklyn,,Beach,0
POINT (-73.97543203962991 40.62022206700046),36,92,Washington Cemetery,2,Washington,,Brooklyn,,Cemetery,0
POINT (-73.92408612898762 40.6033622478687),37,58,Marine Park,2,Marine,,Brooklyn,,Park,0
POINT (-73.89009560708669 40.591299483321535),38,28,Floyd Bennett Field,3,Floyd,Field,Brooklyn,,Bennett,0
POINT (-73.89810825126949 40.62548603514694),39,14,Canarsie Beach Park,3,Canarsie,Park,Brooklyn,,Beach,0
POINT (-73.83062351650361 40.6721943279148),40,2,Aqueduct Race Track,3,Aqueduct,Track,Queens,,Race,0
POINT (-73.85499266330103 40.67728705563947),41,5,Bayside Cemetery,2,Bayside,,Queens,,Cemetery,0
POINT (-73.75238277093409 40.651908212675536),42,10,Brookville Park,2,Brookville,,Queens,,Park,0
POINT (-73.78691600919068 40.67324965288325),43,4,Baisley Pond Park,3,Baisley,Park,Queens,,Pond,0
POINT (-73.77202424502954 40.68791058817667),44,76,Roy Wilkins Park,3,Roy,Park,Queens,,Wilkins,0
POINT (-73.8458479885105 40.703595598692104),45,30,Forest Park,1,Park,,Queens,,,0
POINT (-73.87614171586935 40.6958415315425),46,23,Cypress Hills Cemetery,2,Cypress Hills,,Queens,,Cemetery,0
POINT (-73.86698585276544 40.715164169632864),47,77,Saint  Johns Cemetery,2,St. John's,,Queens,,Cemetery,0
POINT (-73.91396903877961 40.710489911870745),48,54,Linden Hill Cemetery,3,Linden,Cemetery,Queens,,Hill,0
POINT (-73.89594770816673 40.720840966001944),49,65,Mount Olivet Cemetery,2,Mt. Olivet,,Queens,,Cemetery,0
POINT (-73.87963218810509 40.72035302706922),50,49,Juniper Valley Park,2,Juniper Valley,,Queens,,Park,0
POINT (-73.88748458327001 40.7122362531459),51,55,Lutheran Cemetery,2,Lutheran,,Queens,,Cemetery,0
POINT (-73.74173159724515 40.68584033375772),52,61,Montefiore Cemetery,2,Montefiore,,Queens,,Cemetery,0
POINT (-73.84141524806722 40.73799908156732),53,29,Flushing Meadows Corona Park,4,Flushing,Corona,Queens,Park,Meadows,0
POINT (-73.83033792899847 40.73409273122971),54,63,Mount Hebron Cemetery,3,Mt.,Cemetery,Queens,,Hebron,0
POINT (-73.80410217310029 40.744580081208476),55,50,Kissena Park,1,Kissena Park,,Queens,,,0
POINT (-73.76903038011216 40.72903318311167),56,22,Cunningham Park,2,Cunningham,,Queens,,Park,0
POINT (-73.77703960313673 40.79253915786017),57,35,Fort Totten,2,Fort,,Queens,,Totten,0
POINT (-73.78886382836278 40.782589659950936),58,16,Clearview Park,3,Clear-,Park,Queens,,View,0
POINT (-73.76899845415153 40.77133494883229),59,20,Crocheron Park,2,Crocheron,,Queens,,Park,0
POINT (-73.74427173442596 40.75365741448745),60,1,Alley Pond Park,3,Alley,Park,Queens,,Pond,0
POINT (-73.73228698411853 40.75164377669763),61,24,Douglaston Park,2,Douglaston,,Queens,,Park,0
POINT (-73.79311970418817 40.8056466984195),62,33,Fort Schuyler,2,Fort,,Bronx,,Schuyler,0
POINT (-73.93013732431596 40.733382383304445),63,12,Calvary Cemetery,2,Calvary,,Queens,,Cemetery,0
POINT (-73.9131473948865 40.73707174406401),64,67,New Calvary Cemetery,3,New,Cemetery,Queens,,Calvary,0
POINT (-73.90791234235725 40.73205823678442),65,66,Mount Zion Cemetery,2,Mt. Zion,,Queens,,Cemetery,0
POINT (-73.87158393152964 40.567881758894366),66,46,Jacob Riis Park,2,Jacob Riis,,Queens,,Park,0
POINT (-73.89490042748818 40.561630259829755),67,34,Fort Tilden,2,Fort,,Queens,,Tilden,0
POINT (-74.04528226698027 40.69000020889039),68,53,Liberty Island,0,Liberty,,Manhattan,,Island,0
POINT (-74.04017358617266 40.699194768175424),69,26,Ellis Island,0,Ellis,,Manhattan,,Island,0
POINT (-74.10316988748055 40.64230186651149),70,83,Snug Harbor,2,Snug,,Staten Island,,Harbor,0
POINT (-74.09460330126251 40.62728628119562),71,82,Silver Lake Park,3,Silver,Park,Staten Island,,Lake,0
POINT (-74.11069895248923 40.61811022297896),72,17,Clove Lakes Park,3,Clove,Park,Staten Island,,Lakes,0
POINT (-74.05881836960978 40.60438473086624),73,37,Fort Wadsworth,2,Fort,,Staten Island,,Wadsworth,0
POINT (-74.09882949835136 40.56802527531299),74,60,Miller Field,2,Miller,,Staten Island,,Field,0
POINT (-74.12560543839727 40.54844478732872),75,40,Great Kills Park,3,Great,Park,Staten Island,,Kills,0
POINT (-74.1173575915285 40.5827147298193),76,62,Moravian Cemetery,2,Moravian,,Staten Island,,Cemetery,0
POINT (-74.14250377155005 40.58215534212022),77,52,LaTourette Park,2,LaTourette,,Staten Island,,Park,0
POINT (-74.15824652767382 40.60061998735724),78,93,Willowbrook Park,2,Willowbrook,,Staten Island,,Park,0
POINT (-74.17535438004438 40.5312531726696),79,6,Blue Heron Park,3,Blue,Park,Staten Island,,Heron,0
POINT (-74.19242924910763 40.52173962752439),80,94,Wolfe's Pond Park,3,Wolfe's,Park,Staten Island,,Pond,0
POINT (-74.21806393427 40.509664690342944),81,64,Mount Loretto,2,Mt.,,Staten Island,,Loretto,0
POINT (-74.24856463534958 40.49956588939516),82,19,Conference House Park,3,Conference,Park,Staten Island,,House,0
POINT (-74.20503665657094 40.55118349678608),83,85,South Shore Golf Course,4,South,Golf,Staten Island,Course,Shore,0
POINT (-74.19497650953257 40.57405693425491),84,38,Fresh Kills,2,Fresh,,Staten Island,,Kills,0
POINT (-73.91512177856971 40.58319523665636),85,70,Plumb Beach,2,Plumb,,Brooklyn,,Beach,0
POINT (-73.78599900918941 40.648067559263275),86,48,John F. Kennedy International Airport,2,John F. Kennedy,,Queens,,International Airport,0
POINT (-73.87428090918077 40.77541560299302),87,51,LaGuardia Airport,1,LaGuardia Airport,,Queens,,,0
POINT (-73.82628899155016 40.622877455110455),88,47,Jamaica Bay Wildlife Refuge,2,Jamaica Bay,,Brooklyn,,Wildlife Refuge,0
POINT (-73.9936953325996 40.58507538957254),89,13,Calvert Vaux,2,Calvert Vaux,,Brooklyn,,Park,0
POINT (-74.1149203740042 40.59043473002143),90,43,High Rock Park,2,High Rock,,Staten Island,,Park,0
POINT (-74.00555273394113 40.67204727399426),100,73,Red Hook Park,2,Red Hook,,Brooklyn,,Park,0
POINT (-73.89847195245063 40.76444875872217),102,80,Saint Michael's Cemetery,2,St. Michael's,,Queens,,Cemetery,0
POINT (-73.91682910729087 40.89230556742364),103,75,Riverdale Park,1,Riverdale Park,,Bronx,,Park,75
POINT (-73.86271386920103 40.69944758256273),105,31,Forest Park (Golf Course),1,Forest,,Queens,,,0
POINT (-73.86501941871359 40.64582806586263),108,87,Spring Creek Park Preserve (No Access),2,Spring Creek,,Brooklyn,,Park,0
POINT (-73.84421119173001 40.64631600114786),109,86,Spring Creek Park Gateway National Recreation Area,2,Spring Creek,,Queens,,Park,0
